id,count
2,17
10,4
20,14
26,6
34,2
37,3
38,2
60,3
64,5
76,4
85,3
99,4
114,6
118,4
128,4
132,5
133,4
134,3
139,5
141,3
146,3
149,4
154,2
160,2
169,5
171,4
191,6
195,2
200,3
202,4
207,8
218,1
220,6
223,6
238,5
248,11
256,3
260,8
261,7
264,9
271,8
272,7
285,13
287,2
304,6
308,6
310,5
312,1
339,5
362,6
368,7
371,2
375,7
401,7
421,6
432,1
437,7
439,5
450,3
472,4
474,5
477,13
490,24
493,3
506,7
507,2
515,8
517,2
520,3
525,1
543,10
547,4
548,2
557,3
559,3
566,2
569,48
572,6
579,3
589,6
605,3
622,2
631,4
640,2
652,3
660,6
685,8
688,2
711,6
714,7
715,5
724,4
731,6
742,0
747,4
750,8
760,5
765,2
787,2
811,4
813,8
840,5
843,3
850,4
875,12
879,1
901,1
902,4
914,6
931,5
933,3
935,3
945,1
960,1
961,4
966,7
967,6
973,3
981,1
995,5
1008,2
1009,2
1027,2
1036,4
1054,5
1070,3
1078,2
1079,4
1094,6
1105,3
1106,2
1109,4
1110,6
1118,3
1121,12
1129,5
1137,9
1138,3
1142,3
1147,3
1171,3
1176,6
1194,4
1200,9
1208,4
1211,13
1217,2
1222,3
1226,2
1233,1
1244,9
1245,8
1252,12
1265,3
1298,2
1304,1
1326,9
1327,2
1332,2
1346,3
1349,3
1352,3
1361,5
1369,5
1378,2
1387,11
1389,3
1399,5
1403,3
1412,3
1417,8
1436,2
1444,4
1446,3
1454,3
1461,8
1474,6
1479,8
1482,6
1484,3
1488,4
1491,5
1508,4
1529,4
1533,17
1539,3
1545,4
1547,7
1551,3
1552,4
1554,5
1562,5
1563,4
1571,2
1602,12
1605,0
1607,1
1608,6
1610,7
1611,3
1615,7
1616,2
1620,2
1624,5
1637,8
1650,3
1654,3
1665,2
1666,1
1670,3
1673,1
1701,7
1703,5
1709,4
1720,4
1721,3
1722,3
1723,4
1730,10
1734,10
1742,2
1744,5
1748,2
1751,8
1770,6
1785,2
1793,13
1806,6
1810,7
1821,3
1827,1
1835,2
1839,2
1841,3
1845,1
1858,2
1866,5
1880,3
1889,4
1897,5
1902,9
1903,14
1912,9
1919,6
1929,4
1935,2
1940,8
1949,7
1950,6
1965,4
1972,2
1977,2
1982,6
1988,2
1989,3
1992,5
2001,6
2004,8
2009,6
2036,4
2050,3
2056,6
2058,8
2065,2
2067,5
2079,4
2080,5
2082,4
2086,1
2100,3
2104,3
2142,4
2147,8
2153,3
2170,10
2183,2
2197,6
2198,13
2205,6
2207,3
2228,2
2240,1
2241,2
2254,3
2256,6
2259,11
2269,7
2270,7
2278,2
2283,5
2289,6
2290,1
2297,2
2301,0
2314,5
2318,5
2319,6
2323,8
2326,6
2327,4
2353,2
2356,4
2357,0
2361,6
2370,3
2373,6
2379,4
2380,3
2385,4
2387,4
2403,4
2413,2
2449,0
2454,5
2475,4
2476,0
2483,7
2493,4
2501,4
2503,2
2507,4
2510,9
2512,11
2517,3
2519,3
2533,1
2548,5
2549,7
2556,1
2560,8
2570,8
2582,1
2583,3
2595,6
2598,8
2602,4
2616,4
2619,3
2622,1
2623,6
2626,3
2644,11
2647,5
2671,9
2680,5
2682,3
2685,2
2686,2
2687,1
2690,4
2695,9
2696,11
2701,4
2702,7
2704,8
2705,7
2710,2
2722,3
2724,6
2728,6
2729,5
2733,7
2734,7
2749,4
2754,4
2762,16
2768,6
2771,2
2773,5
2777,3
2778,2
2784,2
2790,7
2798,4
2799,4
2801,1
2817,7
2820,4
2831,3
2839,9
2852,4
2855,7
2872,3
2873,4
2874,25
2879,7
2880,6
2882,3
2883,6
2886,12
2900,3
2907,5
2912,2
2914,2
2920,2
2925,5
2946,6
2952,3
2953,4
2964,6
2968,3
2977,5
2980,8
2983,5
3004,5
3011,10
3020,3
3039,3
3043,8
3054,8
3058,5
3071,3
3089,2
3100,4
3101,3
3107,1
3113,3
3114,4
3127,11
3136,7
3156,6
3167,2
3176,3
3194,15
3195,6
3209,6
3213,3
3215,2
3216,7
3259,3
3264,7
3271,7
3272,9
3287,3
3298,2
3306,4
3311,4
3312,3
3315,4
3338,1
3344,12
3362,3
3363,7
3383,9
3391,1
3393,3
3401,1
3413,3
3420,7
3443,5
3446,3
3454,7
3460,4
3473,2
3477,6
3482,12
3490,3
3509,9
3513,4
3520,7
3525,1
3530,6
3546,2
3567,3
3568,5
3569,1
3572,4
3576,1
3588,3
3590,4
3591,4
3601,3
3603,2
3608,11
3615,2
3619,1
3625,3
3629,6
3630,4
3635,5
3642,2
3644,6
3666,6
3668,9
3682,6
3683,4
3685,2
3687,4
3692,1
3713,13
3719,4
3724,4
3734,5
3756,3
3768,2
3798,2
3808,11
3809,3
3817,1
3825,3
3841,2
3851,7
3857,3
3859,6
3874,1
3875,9
3888,0
3890,5
3896,3
3900,7
3905,6
3914,3
3925,3
3927,4
3936,2
3941,1
3944,4
3946,2
3956,8
3957,4
3962,0
3969,4
3983,6
3986,2
3987,1
3988,3
4003,3
4007,5
4009,5
4010,4
4016,13
4018,2
4023,4
4036,8
4037,4
4038,3
4053,6
4054,5
4056,4
4066,3
4075,9
4085,4
4090,4
4107,3
4108,5
4110,3
4118,9
4124,4
4131,7
4134,3
4140,15
4156,2
4158,1
4162,8
4181,1
4182,24
4195,3
4196,3
4211,7
4218,5
4220,8
4223,4
4234,4
4240,5
4254,1
4271,3
4280,1
4296,2
4301,6
4317,4
4330,5
4338,4
4343,3
4349,3
4352,2
4353,3
4358,1
4361,2
4366,3
4380,2
4386,6
4388,3
4391,7
4403,4
4414,2
4417,2
4423,1
4434,4
4435,8
4442,6
4451,5
4454,1
4457,1
4466,7
4468,7
4472,3
4477,1
4481,3
4488,3
4493,4
4496,11
4497,10
4512,4
4518,4
4535,3
4536,7
4546,6
4552,11
4553,3
4554,3
4555,2
4571,4
4579,5
4580,4
4582,3
4593,3
4594,4
4599,22
4613,1
4619,15
4621,8
4638,3
4655,4
4657,0
4659,3
4660,2
4664,7
4726,7
4731,4
4740,10
4746,4
4769,1
4799,7
4808,18
4813,3
4816,6
4820,2
4825,0
4829,8
4836,2
4840,17
4842,13
4843,12
4846,2
4863,7
4876,4
4878,8
4880,3
4886,6
4889,4
4895,2
4902,21
4903,20
4906,4
4909,5
4915,14
4929,4
4931,2
4946,2
4948,4
4949,7
4952,11
4959,9
4966,1
4970,11
4980,3
4987,4
4989,7
4992,5
5001,3
5012,3
5014,16
5021,4
5022,3
5023,2
5025,1
5027,3
5031,6
5035,10
5057,5
5060,9
5065,1
5088,10
5104,4
5115,3
5118,2
5121,14
5139,7
5148,7
5149,6
5164,2
5175,3
5180,2
5195,6
5211,9
5213,3
5221,8
5225,10
5239,4
5240,9
5242,9
5244,4
5249,1
5255,5
5258,2
5262,2
5267,2
5273,4
5286,5
5288,3
5297,10
5324,18
5330,3
5333,11
5341,6
5342,5
5351,5
5352,2
5365,2
5368,4
5377,12
5387,2
5399,2
5407,3
5408,1
5419,3
5423,6
5431,5
5433,2
5436,4
5457,2
5463,4
5469,3
5475,28
5477,6
5482,2
5486,4
5490,11
5494,2
5497,9
5498,8
5515,4
5525,3
5531,4
5532,3
5549,2
5552,3
5554,4
5556,17
5557,7
5563,6
5566,3
5581,6
5594,4
5595,3
5604,3
5611,4
5614,9
5616,20
5625,2
5639,3
5642,2
5657,10
5660,4
5677,4
5679,3
5693,2
5710,3
5716,1
5721,1
5723,5
5731,7
5748,11
5752,2
5766,5
5782,8
5791,4
5804,3
5807,4
5828,4
5830,3
5842,4
5870,4
5886,6
5890,6
5903,4
5914,3
5916,10
5937,6
5942,4
5960,4
5963,3
5965,3
5975,6
5976,6
5981,8
6000,8
6005,8
6010,14
6012,14
6020,3
6029,2
6039,4
6083,11
6087,3
6091,3
6103,2
6105,2
