id,count,label
10,4,4
34,2,2
37,3,3
38,2,2
60,3,3
64,5,5
76,4,4
85,3,3
99,4,4
118,4,4
128,4,4
132,5,5
133,4,4
134,3,3
139,5,5
141,3,3
146,3,3
149,4,4
154,2,2
160,2,2
169,5,5
171,4,4
195,2,2
200,3,3
202,4,4
218,1,1
238,5,5
256,3,3
287,2,2
310,5,5
312,1,1
339,5,5
371,2,2
432,1,1
439,5,5
450,3,3
472,4,4
474,5,5
493,3,3
507,2,2
517,2,2
520,3,3
525,1,1
547,4,4
548,2,2
557,3,3
559,3,3
566,2,2
579,3,3
605,3,3
622,2,2
631,4,4
640,2,2
652,3,3
688,2,2
715,5,5
724,4,4
742,0,0
747,4,4
760,5,5
765,2,2
787,2,2
811,4,4
840,5,5
843,3,3
850,4,4
879,1,1
901,1,1
902,4,4
931,5,5
933,3,3
935,3,3
945,1,1
960,1,1
961,4,4
973,3,3
981,1,1
995,5,5
1008,2,2
1009,2,2
1027,2,2
1036,4,4
1054,5,5
1070,3,3
1078,2,2
1079,4,4
1105,3,3
1106,2,2
1109,4,4
1118,3,3
1129,5,5
1138,3,3
1142,3,3
1147,3,3
1171,3,3
1194,4,4
1208,4,4
1217,2,2
1222,3,3
1226,2,2
1233,1,1
1265,3,3
1298,2,2
1304,1,1
1327,2,2
1332,2,2
1346,3,3
1349,3,3
1352,3,3
1361,5,5
1369,5,5
1378,2,2
1389,3,3
1399,5,5
1403,3,3
1412,3,3
1436,2,2
1444,4,4
1446,3,3
1454,3,3
1484,3,3
1488,4,4
1491,5,5
1508,4,4
1529,4,4
1539,3,3
1545,4,4
1551,3,3
1552,4,4
1554,5,5
1562,5,5
1563,4,4
1571,2,2
1605,0,0
1607,1,1
1611,3,3
1616,2,2
1620,2,2
1624,5,5
1650,3,3
1654,3,3
1665,2,2
1666,1,1
1670,3,3
1673,1,1
1703,5,5
1709,4,4
1720,4,4
1721,3,3
1722,3,3
1723,4,4
1742,2,2
1744,5,5
1748,2,2
1785,2,2
1821,3,3
1827,1,1
1835,2,2
1839,2,2
1841,3,3
1845,1,1
1858,2,2
1866,5,5
1880,3,3
1889,4,4
1897,5,5
1929,4,4
1935,2,2
1965,4,4
1972,2,2
1977,2,2
1988,2,2
1989,3,3
1992,5,5
2036,4,4
2050,3,3
2065,2,2
2067,5,5
2079,4,4
2080,5,5
2082,4,4
2086,1,1
2100,3,3
2104,3,3
2142,4,4
2153,3,3
2183,2,2
2207,3,3
2228,2,2
2240,1,1
2241,2,2
2254,3,3
2278,2,2
2283,5,5
2290,1,1
2297,2,2
2301,0,0
2314,5,5
2318,5,5
2327,4,4
2353,2,2
2356,4,4
2357,0,0
2370,3,3
2379,4,4
2380,3,3
2385,4,4
2387,4,4
2403,4,4
2413,2,2
2449,0,0
2454,5,5
2475,4,4
2476,0,0
2493,4,4
2501,4,4
2503,2,2
2507,4,4
2517,3,3
2519,3,3
2533,1,1
2548,5,5
2556,1,1
2582,1,1
2583,3,3
2602,4,4
2616,4,4
2619,3,3
2622,1,1
2626,3,3
2647,5,5
2680,5,5
2682,3,3
2685,2,2
2686,2,2
2687,1,1
2690,4,4
2701,4,4
2710,2,2
2722,3,3
2729,5,5
2749,4,4
2754,4,4
2771,2,2
2773,5,5
2777,3,3
2778,2,2
2784,2,2
2798,4,4
2799,4,4
2801,1,1
2820,4,4
2831,3,3
2852,4,4
2872,3,3
2873,4,4
2882,3,3
2900,3,3
2907,5,5
2912,2,2
2914,2,2
2920,2,2
2925,5,5
2952,3,3
2953,4,4
2968,3,3
2977,5,5
2983,5,5
3004,5,5
3020,3,3
3039,3,3
3058,5,5
3071,3,3
3089,2,2
3100,4,4
3101,3,3
3107,1,1
3113,3,3
3114,4,4
3167,2,2
3176,3,3
3213,3,3
3215,2,2
3259,3,3
3287,3,3
3298,2,2
3306,4,4
3311,4,4
3312,3,3
3315,4,4
3338,1,1
3362,3,3
3391,1,1
3393,3,3
3401,1,1
3413,3,3
3443,5,5
3446,3,3
3460,4,4
3473,2,2
3490,3,3
3513,4,4
3525,1,1
3546,2,2
3567,3,3
3568,5,5
3569,1,1
3572,4,4
3576,1,1
3588,3,3
3590,4,4
3591,4,4
3601,3,3
3603,2,2
3615,2,2
3619,1,1
3625,3,3
3630,4,4
3635,5,5
3642,2,2
3683,4,4
3685,2,2
3687,4,4
3692,1,1
3719,4,4
3724,4,4
3734,5,5
3756,3,3
3768,2,2
3798,2,2
3809,3,3
3817,1,1
3825,3,3
3841,2,2
3857,3,3
3874,1,1
3888,0,0
3890,5,5
3896,3,3
3914,3,3
3925,3,3
3927,4,4
3936,2,2
3941,1,1
3944,4,4
3946,2,2
3957,4,4
3962,0,0
3969,4,4
3986,2,2
3987,1,1
3988,3,3
4003,3,3
4007,5,5
4009,5,5
4010,4,4
4018,2,2
4023,4,4
4037,4,4
4038,3,3
4054,5,5
4056,4,4
4066,3,3
4085,4,4
4090,4,4
4107,3,3
4108,5,5
4110,3,3
4124,4,4
4134,3,3
4156,2,2
4158,1,1
4181,1,1
4195,3,3
4196,3,3
4218,5,5
4223,4,4
4234,4,4
4240,5,5
4254,1,1
4271,3,3
4280,1,1
4296,2,2
4317,4,4
4330,5,5
4338,4,4
4343,3,3
4349,3,3
4352,2,2
4353,3,3
4358,1,1
4361,2,2
4366,3,3
4380,2,2
4388,3,3
4403,4,4
4414,2,2
4417,2,2
4423,1,1
4434,4,4
4451,5,5
4454,1,1
4457,1,1
4472,3,3
4477,1,1
4481,3,3
4488,3,3
4493,4,4
4512,4,4
4518,4,4
4535,3,3
4553,3,3
4554,3,3
4555,2,2
4571,4,4
4579,5,5
4580,4,4
4582,3,3
4593,3,3
4594,4,4
4613,1,1
4638,3,3
4655,4,4
4657,0,0
4659,3,3
4660,2,2
4731,4,4
4746,4,4
4769,1,1
4813,3,3
4820,2,2
4825,0,0
4836,2,2
4846,2,2
4876,4,4
4880,3,3
4889,4,4
4895,2,2
4906,4,4
4909,5,5
4929,4,4
4931,2,2
4946,2,2
4948,4,4
4966,1,1
4980,3,3
4987,4,4
4992,5,5
5001,3,3
5012,3,3
5021,4,4
5022,3,3
5023,2,2
5025,1,1
5027,3,3
5057,5,5
5065,1,1
5104,4,4
5115,3,3
5118,2,2
5164,2,2
5175,3,3
5180,2,2
5213,3,3
5239,4,4
5244,4,4
5249,1,1
5255,5,5
5258,2,2
5262,2,2
5267,2,2
5273,4,4
5286,5,5
5288,3,3
5330,3,3
5342,5,5
5351,5,5
5352,2,2
5365,2,2
5368,4,4
5387,2,2
5399,2,2
5407,3,3
5408,1,1
5419,3,3
5431,5,5
5433,2,2
5436,4,4
5457,2,2
5463,4,4
5469,3,3
5482,2,2
5486,4,4
5494,2,2
5515,4,4
5525,3,3
5531,4,4
5532,3,3
5549,2,2
5552,3,3
5554,4,4
5566,3,3
5594,4,4
5595,3,3
5604,3,3
5611,4,4
5625,2,2
5639,3,3
5642,2,2
5660,4,4
5677,4,4
5679,3,3
5693,2,2
5710,3,3
5716,1,1
5721,1,1
5723,5,5
5752,2,2
5766,5,5
5791,4,4
5804,3,3
5807,4,4
5828,4,4
5830,3,3
5842,4,4
5870,4,4
5903,4,4
5914,3,3
5942,4,4
5960,4,4
5963,3,3
5965,3,3
6020,3,3
6029,2,2
6039,4,4
6087,3,3
6091,3,3
6103,2,2
6105,2,2
6110,5,5
6122,2,2
6124,1,1
6136,2,2
6144,2,2
6148,2,2
6153,1,1
6159,5,5
6171,1,1
6176,2,2
6185,2,2
6191,5,5
6195,5,5
6206,2,2
6212,5,5
6217,5,5
6227,3,3
6241,4,4
6254,3,3
6264,5,5
6284,5,5
6294,1,1
6295,3,3
6301,2,2
6319,5,5
6322,3,3
6323,5,5
6339,3,3
6355,3,3
6366,3,3
6381,4,4
6394,2,2
6396,4,4
6397,4,4
6402,0,0
6417,2,2
6455,1,1
6456,2,2
6464,5,5
6466,5,5
6486,5,5
6498,2,2
6526,5,5
6528,4,4
6537,5,5
6538,4,4
6539,5,5
6554,0,0
6559,3,3
6562,2,2
6567,4,4
6580,5,5
6596,3,3
6598,2,2
6599,4,4
6618,2,2
6625,2,2
6626,5,5
6635,5,5
6640,4,4
6643,3,3
6689,4,4
6705,4,4
6734,3,3
6764,1,1
6774,4,4
6778,0,0
6787,3,3
6791,3,3
6807,4,4
6809,1,1
6816,5,5
6831,1,1
6845,3,3
6855,2,2
6856,0,0
6859,4,4
6861,2,2
6875,5,5
6890,3,3
6893,3,3
6904,4,4
6909,1,1
6920,5,5
6925,4,4
6931,5,5
6933,2,2
6944,0,0
6947,2,2
6959,0,0
6960,3,3
6979,2,2
6983,2,2
6994,3,3
6996,2,2
7003,1,1
7015,3,3
7019,1,1
7034,3,3
7045,4,4
7052,4,4
7058,4,4
7064,3,3
7080,0,0
7083,3,3
7090,3,3
7107,3,3
7116,5,5
7119,2,2
7122,4,4
7133,2,2
7137,4,4
7141,4,4
7144,1,1
7145,3,3
7151,5,5
7153,3,3
7173,0,0
7174,2,2
7197,5,5
7208,3,3
7213,3,3
7219,1,1
7231,4,4
7243,2,2
7293,5,5
7301,4,4
7306,5,5
7307,3,3
7321,3,3
7332,3,3
7336,4,4
7351,4,4
7354,1,1
7375,4,4
7418,4,4
7422,3,3
7444,5,5
7449,2,2
7464,2,2
7465,5,5
7477,3,3
7492,4,4
7496,4,4
7497,5,5
7502,3,3
7513,3,3
7517,4,4
7525,3,3
7526,3,3
7551,3,3
7566,2,2
7605,3,3
7606,2,2
7609,2,2
7612,3,3
7614,1,1
7621,3,3
7636,2,2
7646,4,4
7656,5,5
7685,5,5
7690,2,2
7698,4,4
7735,1,1
7739,2,2
7748,3,3
7756,3,3
7767,3,3
7813,5,5
7816,3,3
7817,3,3
7819,3,3
7884,3,3
7886,5,5
7889,4,4
7897,1,1
7901,2,2
7905,1,1
7908,2,2
7913,3,3
7915,0,0
7919,5,5
7930,3,3
7948,3,3
7984,2,2
8014,3,3
8020,5,5
8025,2,2
8054,3,3
8063,5,5
8064,4,4
8065,4,4
8075,1,1
8097,5,5
8104,2,2
8126,0,0
8131,2,2
8153,4,4
8165,0,0
8167,2,2
8176,2,2
8196,5,5
8217,3,3
8223,3,3
8227,4,4
8238,3,3
8256,5,5
8258,2,2
8259,3,3
8274,4,4
8303,5,5
8313,4,4
8314,3,3
8333,2,2
8340,4,4
8374,3,3
8375,2,2
8379,3,3
8388,4,4
8396,2,2
8405,1,1
8417,3,3
8418,5,5
8419,2,2
8447,5,5
8451,5,5
8460,3,3
8479,5,5
8488,1,1
8489,1,1
8494,1,1
8495,2,2
8497,1,1
8498,2,2
8526,3,3
8556,4,4
8574,2,2
8587,5,5
8605,3,3
8632,2,2
8645,4,4
8651,4,4
8665,4,4
8689,3,3
8713,4,4
8752,4,4
8759,3,3
8779,3,3
8784,5,5
8796,3,3
8806,2,2
8807,1,1
8814,4,4
8827,4,4
8829,2,2
8833,1,1
8851,1,1
8871,5,5
8877,4,4
8879,5,5
8887,3,3
8888,2,2
8904,5,5
8908,2,2
8921,3,3
8924,5,5
8979,4,4
8986,5,5
8995,4,4
8998,4,4
8999,3,3
9018,4,4
9029,5,5
9043,5,5
9048,3,3
9058,3,3
9065,5,5
9073,3,3
9084,4,4
9094,5,5
9110,5,5
9111,4,4
9112,5,5
9118,1,1
9124,3,3
9131,4,4
9139,5,5
9150,2,2
9153,4,4
9155,4,4
9156,3,3
9162,5,5
9163,2,2
9164,4,4
9170,3,3
9183,3,3
9185,5,5
9188,4,4
9198,5,5
9199,4,4
9203,4,4
9222,2,2
9228,1,1
9233,3,3
9236,3,3
9237,5,5
9246,3,3
9261,4,4
9281,2,2
9314,4,4
9316,2,2
9338,4,4
9342,5,5
9356,0,0
9385,2,2
9394,4,4
9405,4,4
9409,3,3
9414,3,3
9423,5,5
9436,4,4
9442,1,1
9457,5,5
9458,4,4
9459,3,3
9460,5,5
9468,4,4
9472,3,3
9480,5,5
9498,2,2
9514,5,5
9524,3,3
9528,1,1
9541,4,4
9546,2,2
9554,1,1
9557,3,3
9570,4,4
9571,5,5
9585,4,4
9591,4,4
9592,3,3
