id,count,label
10,4,4
37,3,3
38,2,2
60,3,3
76,4,4
85,3,3
99,4,4
118,4,4
128,4,4
132,5,5
133,4,4
139,5,5
141,3,3
146,3,3
149,4,4
154,2,2
160,2,2
169,5,5
202,4,4
218,1,1
238,5,5
256,3,3
287,2,2
310,5,5
339,5,5
371,2,2
432,1,1
439,5,5
450,3,3
472,4,4
474,5,5
507,2,2
517,2,2
520,3,3
525,1,1
548,2,2
557,3,3
566,2,2
579,3,3
631,4,4
640,2,2
652,3,3
688,2,2
715,5,5
724,4,4
742,0,0
760,5,5
765,2,2
787,2,2
811,4,4
840,5,5
850,4,4
879,1,1
901,1,1
902,4,4
931,5,5
933,3,3
935,3,3
945,1,1
960,1,1
961,4,4
973,3,3
981,1,1
1008,2,2
1009,2,2
1027,2,2
1054,5,5
1070,3,3
1078,2,2
1079,4,4
1105,3,3
1106,2,2
1109,4,4
1129,5,5
1142,3,3
1147,3,3
1194,4,4
1208,4,4
1217,2,2
1222,3,3
1226,2,2
1233,1,1
1265,3,3
1298,2,2
1304,1,1
1327,2,2
1332,2,2
1349,3,3
1352,3,3
1361,5,5
1369,5,5
1378,2,2
1389,3,3
1412,3,3
1444,4,4
1484,3,3
1491,5,5
1508,4,4
1539,3,3
1545,4,4
1551,3,3
1552,4,4
1554,5,5
1562,5,5
1607,1,1
1616,2,2
1620,2,2
1624,5,5
1650,3,3
1665,2,2
1670,3,3
1703,5,5
1709,4,4
1720,4,4
1721,3,3
1722,3,3
1723,4,4
1742,2,2
1744,5,5
1821,3,3
1827,1,1
1835,2,2
1839,2,2
1845,1,1
1866,5,5
1880,3,3
1897,5,5
1935,2,2
1965,4,4
1972,2,2
1977,2,2
1989,3,3
1992,5,5
2036,4,4
2050,3,3
2067,5,5
2080,5,5
2086,1,1
2100,3,3
2142,4,4
2153,3,3
2183,2,2
2207,3,3
2240,1,1
2241,2,2
2278,2,2
2283,5,5
2290,1,1
2297,2,2
2301,0,0
2318,5,5
2327,4,4
2353,2,2
2357,0,0
2370,3,3
2380,3,3
2385,4,4
2454,5,5
2475,4,4
2476,0,0
2493,4,4
2501,4,4
2503,2,2
2507,4,4
2517,3,3
